institution,type,usnews_rank,ds_program,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
Franklin College,2,146,0,2,2,2,4,70,47,1,80,6,7,2,873,60,97893,81,27454366,99752531,249.67,63883,73,38,100
Furman University,2,45,1,2,2,2,5,43,57,5,73,7,7,3,2292,79,319344,81,158193045,827738616,905,93593,91,15,100
Georgetown College,2,180,1,2,2,2,4,91,48,4,75,7,9,1,1196,49,24673,89,28030515,32889546,186.67,58522,69,40,100
Gettysburg College,2,58,1,2,2,2,5,39,51,11,64,11,5,3,2334,83,150313,84,114548899,425385470,693.33,93896,91,23,98
Gordon College,2,156,0,2,2,2,3,69,59,11,59,12,6,3,1312,69,74734,84,44568862,115090366,372.66,71341,84,20,100
Goucher College,2,126,0,2,2,2,4,78,66,5,47,7,27,5,967,57,238703,74,57734000,292650000,360.34,75442,79,35,100
Grinnell College,2,13,1,2,2,2,5,15,54,18,52,8,5,8,1724,88,1543843,91,141965000,2670849000,848.66,113182,93,19,94
Guilford College,2,172,1,2,2,2,4,80,51,2,44,14,26,5,1116,46,64899,60,38249816,80734148,240.65,63043,65,58,100
Gustavus Adolphus College,2,70,1,2,2,2,3,61,55,5,79,5,2,2,1914,77,150880,84,77912677,313227276,539.33,75157,88,21,100
Hamilton College,2,13,0,2,2,2,5,14,56,8,64,9,3,9,2098,91,664863,89,150308000,1361639000,782.01,111639,95,19,63
Hampden-Sydney College,2,107,1,2,2,2,5,41,1,1,77,6,8,1,888,62,274960,79,50712307,248839242,322.33,85950,84,25,100
Hampshire College,2,156,1,2,2,2,2,75,63,7,59,14,6,3,771,54,38260,61,34959243,27241084,241.67,90762,78,39,100
Hanover College,2,115,0,2,2,2,3,84,50,5,78,3,5,1,944,67,134538,87,45796441,163733338,279.32,78073,82,31,100
Hartwick College,2,151,0,2,2,2,4,70,59,5,59,11,12,2,1136,53,39131,56,45251866,43787461,295.33,71263,74,42,100
Harvey Mudd College,2,10,1,2,2,2,5,13,48,12,22,21,5,23,919,92,474973,89,73320831,454549500,372.67,138166,96,17,73
Haverford College,2,24,1,2,2,2,5,12,57,11,49,12,5,12,1468,90,470044,84,105290767,702245110,654.32,106065,94,15,53
Hendrix College,2,96,1,2,2,2,3,56,50,2,69,9,7,4,1092,72,209871,73,41609822,219105629,335.67,73666,80,25,100
Hillsdale College,2,50,1,2,2,2,-2,21,50,0,0,0,0,0,1554,90,642739,85,225394140,1133148253,894.68,75813,97,0,99
Hobart William Smith Colleges,2,73,1,2,2,2,5,64,51,8,64,10,7,2,1618,77,113640,82,92318093,184210870,573.66,86030,86,26,100
Hollins University,2,135,0,2,2,2,2,68,100,6,60,10,15,2,739,65,394597,99,35198336,303839322,283,65637,74,47,100
Hope College,2,84,1,2,2,2,3,79,60,2,78,8,4,3,3214,80,95741,91,106073000,309915000,810.34,78384,88,16,97
Houghton University,2,146,0,2,2,2,1,89,64,5,70,2,7,3,742,65,98151,77,25551973,80582293,185.66,59605,84,40,100
Illinois College,2,111,1,2,2,2,3,78,54,5,70,10,9,1,948,64,142695,80,36491902,139556008,258.33,69039,71,44,100
Juniata College,2,92,0,2,2,2,3,79,53,11,67,7,5,2,1240,74,101599,65,52063971,132688469,327.99,81039,83,34,100
Kalamazoo College,2,67,1,2,2,2,5,75,58,5,62,16,5,5,1373,76,221789,87,62489424,304294691,358.99,80243,85,28,100
Kenyon College,2,45,1,2,2,2,3,31,59,9,57,6,4,4,1864,82,312989,76,118451476,626603453,658.32,87907,92,11,83
Knox College,2,76,0,2,2,2,4,71,52,20,48,13,6,4,1026,68,179173,80,49500216,174514569,410.99,64993,83,37,100
Lafayette College,2,30,1,2,2,2,5,31,49,7,68,9,6,4,2753,88,404344,79,170365000,1140250000,899.67,113971,90,14,67
Lake Forest College,2,75,0,2,2,2,4,57,57,17,46,18,3,6,1884,78,63564,79,60327627,123504020,348.66,81392,90,30,100
Lawrence University,2,65,1,2,2,2,3,64,53,11,61,11,4,5,1457,77,309969,84,77529590,461234427,498.33,79064,87,24,100
Lewis & Clark College,2,96,0,2,2,2,3,78,63,5,64,12,3,5,2187,75,95159,71,122153319,326109583,719.33,98173,89,22,100
Linfield University,2,111,0,2,2,2,6,85,65,1,60,21,1,6,1629,70,69033,80,61549452,117769708,431.34,68930,80,35,100
Luther College,2,111,0,2,2,2,3,72,54,13,73,7,4,2,1455,71,139524,89,55059701,204542420,366.34,73038,77,23,100
Lycoming College,2,96,0,2,2,2,4,74,53,3,65,12,11,2,1074,60,173296,83,42841170,191145000,299,74352,76,42,100
Lyon College,2,167,0,2,2,2,3,63,41,6,46,8,8,1,587,47,169858,20,33551900,97328611,216.33,57028,71,43,100
Macalester College,2,28,0,2,2,2,3,29,58,14,51,11,6,8,2126,87,401854,92,127659000,881667000,652.67,107560,92,13,89
Marymount Manhattan College,2,178,1,2,2,2,4,83,83,2,50,20,12,3,1517,49,20027,56,50029584,30340471,410,78326,70,35,100
Maryville College,2,170,1,2,2,2,4,61,53,7,71,6,9,1,1061,50,106858,83,28744298,111238733,329.33,61657,71,50,100
Massachusetts College of Liberal Arts,2,115,1,1,2,2,4,90,57,1,62,8,6,1,683,56,27130,68,46249872,22979412,293.99,94113,76,43,100
Meredith College,2,115,0,2,2,2,3,74,100,2,62,17,9,5,1271,70,89943,74,47911002,138962671,437.67,68912,79,40,100
Middlebury College,2,13,1,2,3,2,5,11,53,12,51,10,5,7,4054,91,450894,77,294329919,1597984000,1200.99,124876,94,18,50
Millsaps College,2,146,0,2,2,2,5,43,47,4,55,5,27,3,576,57,184118,86,30657017,110471025,228.34,74305,58,41,86
Monmouth College,2,154,1,2,2,2,3,91,47,1,69,12,10,2,738,65,191364,87,31497429,141991869,206,61937,74,44,100
Morehouse College,2,96,1,2,2,2,6,44,0,0,0,0,98,0,2416,59,94678,95,112356290,263393368,601.34,78530,87,48,92
Mount Holyoke College,2,29,0,2,2,2,3,36,100,22,51,9,5,7,2327,84,476654,81,147963371,1101548227,908.33,118264,89,19,79
Muhlenberg College,2,70,0,2,2,2,5,72,59,1,71,11,5,4,1776,82,168985,81,79347791,337125542,581.66,86827,90,22,99
New College of Florida,2,135,0,1,2,2,4,73,56,6,56,23,6,4,763,67,60929,41,80313090,48987288,351.66,93386,76,36,100
Oberlin College,2,58,0,2,2,2,3,34,58,24,46,6,3,4,3077,81,378565,77,170844911,1270465000,898.66,101087,91,10,99
Occidental College,2,35,1,2,2,2,5,44,59,4,48,17,4,13,1932,81,335709,87,117534309,654297483,734.99,111137,90,16,84
Oglethorpe University,2,156,1,2,2,2,6,88,74,2,27,17,12,2,1433,54,29396,93,35869273,51089713,260.67,71109,73,42,100
Ohio Wesleyan University,2,121,0,2,2,2,3,56,57,6,73,5,7,3,1471,59,207478,84,60841078,306030062,379,79125,85,32,100
Ouachita Baptist University,2,151,1,2,2,2,3,68,56,2,81,6,6,1,1618,61,81966,77,43295644,140325456,319.33,69393,83,23,100
Pitzer College,2,37,1,2,2,2,3,25,59,9,47,12,5,12,1195,83,158058,73,83897948,191881805,375,112527,94,8,45
Pomona College,2,7,1,2,2,2,5,7,55,13,30,16,10,18,1743,93,1645142,89,191094000,3008965000,875.33,135767,98,20,69
Presbyterian College,2,163,0,2,2,2,3,68,49,6,59,8,17,2,904,51,93524,68,40646995,107646357,266.67,74162,80,43,100
Principia College,2,63,1,2,1,2,-2,44,42,39,40,5,8,1,337,74,1780492,94,37086657,592903744,294,82946,83,0,90
Randolph College,2,156,1,2,2,2,4,94,59,4,54,9,18,7,538,46,263949,92,29536456,187140000,284.33,78309,75,48,100
Randolph-Macon College,2,96,0,2,2,2,3,87,54,1,74,5,9,3,1483,70,146680,83,54216442,217085858,443.67,82455,84,20,100
Reed College,2,63,1,2,2,2,3,25,59,8,59,11,1,8,1504,71,556231,84,96641127,790961122,533.34,113203,88,15,61
Rhodes College,2,55,0,2,2,2,5,50,59,4,62,7,10,9,1902,85,209812,83,82065992,431583452,510.65,85478,92,17,100
Ripon College,2,143,1,2,2,2,4,80,45,1,77,11,5,1,727,63,146390,78,27086127,114037583,180.99,74767,72,30,100
Roanoke College,2,126,0,2,2,2,3,83,53,7,75,6,6,2,1883,67,91254,85,59896016,185244775,433.68,67979,76,27,100
Saint Anselm College,2,96,0,2,2,2,5,78,58,1,87,5,1,1,2049,80,98292,75,74366784,213587856,512.01,88124,88,14,100
Saint Johns University,2,82,0,2,2,2,5,91,0,4,79,8,5,4,1453,75,184699,88,66239903,300875481,414,80757,86,19,100
Saint Mary's College,2,84,1,2,2,2,5,76,99,1,74,13,2,1,1430,69,201036,84,60235191,321859342,457.33,71561,88,24,100
Saint Michael's College,2,115,0,2,2,2,3,85,55,5,78,6,4,2,1171,73,63129,66,53760282,95450950,328.32,83987,80,30,100
Saint Norbert College,2,111,0,2,2,2,3,86,56,2,80,5,1,2,1777,71,96226,92,61658776,188795538,443.66,84964,84,21,100
Saint Vincent College,2,121,0,2,2,2,3,62,40,2,79,5,6,1,1269,69,91713,92,50929653,146740767,396.33,74720,82,30,100
Salem College,2,143,1,2,2,2,4,77,99,2,40,17,17,2,361,57,133576,81,21202378,60510012,142.99,58526,68,71,100
Sarah Lawrence College,2,109,1,2,2,2,3,62,79,7,56,10,4,5,1566,71,84731,63,78357677,148109145,403.33,101118,87,12,91
Scripps College,2,37,1,2,2,2,5,38,100,5,54,12,4,13,1076,83,428482,83,87854263,503038388,395.67,118917,94,12,62
Simpson University,2,173,0,2,2,2,4,86,56,4,41,23,3,4,728,49,8821,39,25212652,7374442,173.66,68092,60,41,100
Skidmore College,2,37,1,2,2,2,3,21,59,9,63,10,4,6,2761,83,170999,84,161253000,488201000,948.32,102636,90,12,64
Smith College,2,13,0,2,2,2,3,21,100,13,51,12,5,10,2611,89,810918,83,253895751,2564122544,1310,117913,94,16,72
Southwestern University,2,84,1,2,2,2,3,43,55,2,54,28,6,4,1477,73,268257,81,61767033,403727514,418.33,80280,81,30,99
Spelman College,2,37,1,2,2,2,6,25,92,1,8,2,74,1,2558,78,185818,93,118636631,549276684,678.33,86025,94,39,97
St Lawrence University,2,58,0,2,2,2,3,54,54,10,76,5,2,2,2071,79,197458,75,111898372,416833841,662.66,93609,91,23,99
St Olaf College,2,50,0,2,2,2,3,48,58,10,67,9,3,6,3068,84,267834,84,125156224,803770786,731.02,82960,92,21,100
St. John's College,2,84,1,2,2,2,1,55,49,15,63,7,2,4,496,71,332880,90,25760121,210047576,166,80269,83,16,90
St. John's College,2,96,1,2,2,2,3,53,48,12,63,13,2,2,386,55,219757,82,23364548,112735358,148.66,88651,82,28,99
St. Mary's College of Maryland,2,96,1,1,2,2,4,69,60,0,70,8,11,3,1612,70,26210,81,80664083,45029041,448.01,81389,86,22,99
Stonehill College,2,82,0,2,2,2,5,66,52,2,75,8,5,2,2505,76,120553,80,84873726,306928702,591,96476,84,20,100
SUNY at Purchase College,2,131,1,1,2,2,2,74,58,1,50,24,12,4,3058,63,25135,15,133864382,82417368,753.32,72709,80,36,84
Susquehanna University,2,96,0,2,2,2,3,81,57,2,72,7,6,2,2143,82,96094,86,71225778,225341330,448.66,83241,86,27,97
Swarthmore College,2,4,1,2,2,2,5,7,52,14,30,15,9,17,1736,92,1591875,85,193656000,2728473000,1036,134645,94,18,66
The College of Wooster,2,76,0,2,2,2,3,60,53,15,61,6,9,4,1902,74,238206,89,81871233,437822692,516.32,80177,82,26,100
The University of the South,2,45,0,2,2,2,3,57,54,4,81,6,4,1,1713,80,291342,88,98299754,499943537,785.01,91418,89,16,98
Thomas Aquinas College,2,55,1,2,1,2,3,83,50,7,62,20,0,2,541,84,47657,87,30122135,30834386,140.66,86654,92,33,80
Tougaloo College,2,180,1,2,2,2,4,60,60,0,1,2,89,0,568,33,41370,94,31985867,28917674,199.34,36378,83,76,94
Transylvania University,2,109,1,2,2,2,3,87,56,1,79,5,5,3,1006,71,280561,84,38315322,273547275,290,91301,87,29,100
Trinity College,2,37,1,2,2,2,5,29,52,13,59,9,5,4,2217,84,379958,82,160887776,850725222,608.98,104781,90,13,76
Trinity University,2,37,1,2,2,2,5,26,54,5,52,25,4,8,2504,84,693012,88,152002623,1843412847,859.34,111280,93,20,100
Union College,2,44,1,2,2,2,5,44,45,10,65,9,4,7,2080,80,269581,77,127191247,567467656,759,108276,90,16,97
University of Mary Washington,2,131,0,1,3,2,3,80,64,2,59,13,9,4,3171,66,26186,41,86041985,89033173,733.34,89587,84,21,99
University of Minnesota-Morris,2,115,1,1,2,2,4,75,54,4,51,8,3,1,982,63,27333,88,40136087,26431352,306.67,73910,74,36,99
University of New Hampshire at Manchester,2,135,0,1,2,2,4,81,47,1,75,8,3,4,452,50,2978,-134,20181791,2191486,113.18,88061,85,24,91
University of North Carolina Asheville,2,135,1,1,2,2,4,92,59,2,74,9,5,2,2708,54,28047,46,78814457,75642604,643.67,82385,72,37,93
University of Puget Sound,2,96,1,2,2,2,3,72,57,1,67,11,3,6,1653,68,266366,88,90752000,471468000,563.65,96569,84,14,100
University of Richmond,2,22,0,2,3,2,5,22,55,11,61,10,6,6,3338,85,805633,90,315233000,3245089000,1839,130317,91,15,63
Ursinus College,2,84,1,2,2,2,3,92,48,0,75,7,8,3,1493,73,112889,76,66741772,167639430,380.33,82944,87,20,100
Vassar College,2,13,1,2,2,2,3,19,63,7,55,12,4,11,2581,91,527785,82,204376274,1300989120,1132,122701,95,18,72
Virginia Military Institute,2,65,1,1,2,2,5,71,13,2,72,9,7,5,1589,76,453647,87,75998899,787531041,644.66,81628,81,19,96
Wabash College,2,50,1,2,2,2,5,63,0,5,73,12,4,2,852,77,508876,93,53373471,428982792,298.34,85800,93,21,100
Wartburg College,2,156,1,2,2,2,3,76,48,6,80,4,4,1,1418,64,67631,66,43822164,100364486,371.66,64870,76,24,97
Washington & Jefferson College,2,84,0,2,2,2,5,81,47,2,76,6,7,2,1180,70,144097,84,45352447,170899484,331.33,74912,81,37,100
Washington and Lee University,2,21,1,2,2,2,5,14,51,7,69,8,4,4,1891,94,901290,88,181356000,2043225000,1046.32,127391,97,12,70
Washington College,2,92,0,2,2,2,3,57,56,4,65,9,9,3,903,65,376222,85,68746419,362301915,439,60910,84,27,100
Wellesley College,2,7,0,2,2,2,5,14,98,14,30,15,8,23,2363,92,1112807,85,249301000,2991224000,1068.67,127081,96,22,63
Wesleyan University,2,13,1,2,2,2,5,16,55,8,47,17,10,8,3188,93,427458,78,214664000,1583306000,1097.65,126901,95,14,50
Westminster College,2,164,0,2,2,2,4,79,44,2,80,5,7,0,598,55,136107,84,25158224,80711423,188.65,68939,71,40,100
Westminster College,2,121,1,2,2,2,3,93,51,0,70,4,5,1,1074,65,110704,85,33615192,140925746,271.33,68168,81,32,100
Westmont College,2,115,0,2,2,2,3,77,62,2,51,23,2,6,1345,70,68117,77,61560677,92162206,353.66,91664,85,28,100
Wheaton College,2,50,1,2,2,2,3,87,55,4,67,8,3,10,2065,85,223488,84,127494000,610123000,748.66,94286,93,22,98
Wheaton College (Massachusetts),2,76,1,2,2,2,3,68,65,4,70,7,6,4,1774,73,153602,78,74517002,272797345,458.99,75831,82,26,100
Whitman College,2,58,1,2,2,2,3,38,57,14,57,12,3,6,1558,81,519827,86,92075678,785977679,506,95654,87,23,97
Whittier College,2,92,0,2,2,2,4,81,59,13,23,48,4,5,822,60,178564,83,52745179,139279793,303.66,81845,66,36,100
Willamette University,2,76,0,2,2,2,3,77,61,3,63,14,2,4,1614,71,119359,71,82355200,313019000,615.33,99746,87,23,100
Williams College,2,1,1,2,2,2,5,8,52,9,48,13,5,14,2218,94,1564911,81,249534227,3530439948,1182.33,138043,97,17,64
Wittenberg University,2,164,0,2,2,2,4,72,50,1,72,5,11,1,1273,53,71945,73,50000083,96621956,282,70444,63,43,100
Wofford College,2,67,1,2,2,2,5,52,53,2,80,5,7,2,1872,84,239905,83,75856025,465415514,478.34,81750,91,18,99
