institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
Florida International University,0,0,97,1,5,2,6,55,56,7,9,67,12,3,29376,74,7132,49,1243499206,337735286,5859.69,106417,96,21,94
Florida State University,0,1,51,1,5,2,5,24,57,2,58,23,8,4,29352,86,24547,67,1672487912,1029931070,7769.32,117911,86,29,79
George Mason University,0,0,117,1,5,2,6,87,50,5,33,17,12,23,23814,68,6161,57,1086383271,206791506,5129,130338,92,17,80
George Washington University,0,0,59,2,4,2,5,47,64,9,47,13,8,14,10809,84,116333,47,1734559000,2639708000,5549.33,151751,97,8,44
Georgetown University,0,1,24,2,4,2,5,13,57,15,44,6,5,14,7356,95,206718,44,1692716000,3638443000,6385.66,163399,98,12,73
Georgia Institute of Technology-Main Campus,0,0,32,1,5,2,5,14,39,9,35,8,8,33,18050,94,81014,38,2552406230,3166993332,10253.33,139771,80,53,94
Georgia State University,0,0,198,1,5,2,4,55,60,4,17,14,43,16,22298,53,7867,32,830594852,259886368,5183.33,94128,98,20,72
Harvard University,0,1,3,2,4,2,5,4,53,19,29,11,7,19,7544,98,1742218,84,5737940000,53235205000,19791,223353,91,40,100
Howard University,0,1,88,2,3,2,6,41,71,4,0,6,63,3,9515,70,77457,50,733188000,1032497000,3030.33,104419,91,18,82
Indiana University-Bloomington,0,0,73,1,5,2,5,78,52,4,66,9,6,9,36540,80,42736,65,1668644980,2087993958,9217.33,108244,72,45,91
Indiana University-Indianapolis,0,0,192,1,4,2,4,76,60,3,58,14,12,7,15169,54,99721,81,1391395626,2452144361,9309.34,86258,88,18,89
Iowa State University,0,0,117,1,4,1,3,89,45,4,76,7,3,4,24694,75,55218,73,1177960245,1559640740,6539.99,114501,98,21,66
Johns Hopkins University,0,1,7,2,4,2,5,6,57,20,22,16,8,25,5751,94,455064,79,8293259000,13063073000,20047.34,171360,86,21,95
Kansas State University,0,0,158,1,4,1,3,82,51,2,78,9,3,2,13976,71,59303,62,834388584,1019065645,4786.01,97526,81,35,97
Kent State University at Kent,0,1,232,1,4,2,4,86,63,4,74,4,9,3,18029,64,8149,40,506995112,202182612,3309.66,96063,94,19,71
Lehigh University,0,0,46,2,3,2,5,26,48,7,58,11,5,11,5803,88,254549,80,460807000,1872716000,1986.66,136972,85,35,93
Louisiana State University and Agricultural & Mechanical College,0,0,169,1,4,1,5,73,55,2,60,10,19,5,29216,69,20019,1,1203949320,722730548,7099.34,103487,82,32,99
Loyola University Chicago,0,0,132,2,3,2,5,82,68,2,46,20,7,12,11508,73,66060,85,591293514,1054708355,3180.66,104279,99,20,75
Massachusetts Institute of Technology,0,0,2,2,3,1,5,5,49,11,20,14,9,33,4667,96,1945583,84,4367341000,24572716000,14521,221399,90,20,92
Michigan State University,0,0,64,1,5,1,5,85,51,6,67,6,7,8,38315,81,104916,60,2686547985,4986233000,13435.34,122284,89,22,99
Michigan Technological University,0,0,158,1,3,2,5,92,30,1,83,3,1,2,5727,68,24584,66,270394182,169088791,1526.67,106725,83,30,97
Mississippi State University,0,0,208,1,4,1,3,78,51,1,73,4,16,2,17268,67,41465,44,898908746,894682468,5274.34,90000,87,24,99
Missouri University of Science and Technology,0,0,192,1,3,2,5,73,23,3,74,5,3,4,5052,64,46175,75,234753923,282592656,1352.33,114604,79,17,90
Montana State University,0,0,318,1,3,1,3,82,47,1,84,6,1,1,13299,57,20082,55,595462338,312991891,3048.67,87925,90,44,95
New Jersey Institute of Technology,0,0,80,1,3,2,6,65,30,5,27,26,10,19,8347,73,16739,40,524846000,179523000,1837.67,125101,73,46,96
New Mexico State University-Main Campus,0,0,222,1,3,1,4,89,59,3,25,62,3,1,10510,55,7092,10,402956062,88674297,3030.66,91599,96,19,46
New York University,0,0,32,2,5,2,5,9,59,27,22,15,7,20,30163,88,117296,43,9934895000,6651982030,22649.34,164871,94,19,69
North Carolina State University at Raleigh,0,0,59,1,5,1,5,42,50,3,65,9,6,10,25947,85,67504,43,1685455575,2219515999,9930.66,116376,78,22,94
North Dakota State University-Main Campus,0,0,232,1,3,1,3,95,51,1,84,3,4,2,9058,64,45378,67,439588143,486725427,2441.67,95441,97,17,74
Northeastern University,0,0,46,2,4,2,5,5,56,14,41,11,5,21,23184,91,56764,64,1834746234,1852620000,6689.32,146980,75,37,99
Northern Arizona University,0,0,242,1,4,2,5,90,63,2,53,26,3,4,21670,61,9767,30,624209206,283386638,3583.67,88586,98,21,62
Northwestern University,0,0,7,2,4,2,5,8,55,10,34,14,7,21,9032,95,495254,81,3035012000,10981265000,11709.34,182894,76,39,100
Nova Southeastern University,0,1,257,2,4,2,6,73,72,6,28,34,15,12,7041,63,12671,58,716313832,252077000,3936.99,104041,94,19,80
Ohio State University-Main Campus,0,0,40,1,5,1,5,61,50,7,61,6,8,10,43382,88,132976,49,3536303231,7903034629,35878.68,131274,84,24,97
Ohio University-Main Campus,0,0,198,1,4,2,6,85,63,1,80,5,6,2,16465,65,32699,51,600682588,779546455,3711.33,88727,85,30,96
Oklahoma State University-Main Campus,0,0,198,1,4,1,5,75,52,2,66,10,4,2,19919,68,25771,45,762586497,603919302,5376.68,96820,77,43,94
Old Dominion University,0,0,293,1,4,2,4,90,54,1,42,11,31,5,14593,46,17155,56,464537427,319812987,3683.68,94974,88,21,92
Oregon State University,0,0,143,1,4,1,5,77,49,3,63,13,2,8,23620,70,33832,42,1377710196,1038691221,6160.64,103885,93,13,67
Pennsylvania State University-Main Campus,0,0,59,1,5,1,3,61,47,10,62,9,5,7,41761,86,80151,67,3336246614,4750032000,16727,119122,98,22,68
Princeton University,0,1,1,2,3,2,5,5,50,13,35,10,8,23,5678,98,3716273,84,2126077000,33401865000,7810.01,228190,93,13,59
Purdue University-Main Campus,0,0,46,1,5,1,5,50,43,10,56,7,3,13,38296,83,77178,82,2231196401,3971950988,11827.01,130529,91,20,95
Rensselaer Polytechnic Institute,0,1,64,2,3,2,5,63,31,9,43,12,5,21,6215,84,126013,53,436987000,1000295000,1739.66,124774,97,18,64
Rice University,0,1,17,2,3,2,5,8,49,13,27,16,9,29,4595,95,870958,84,951818899,7931811000,3985.34,166082,93,27,69
Rutgers University-New Brunswick,0,0,42,1,5,1,3,58,51,9,31,15,7,32,36945,84,34280,43,2912347774,1720866182,18331.32,131851,88,25,100
Saint Louis University,0,0,102,2,3,2,5,75,58,3,63,8,9,10,7110,80,141173,78,570844395,1879430141,2906.33,102913,91,25,62
San Diego State University,0,0,117,1,4,2,6,36,56,3,33,36,4,13,31353,76,12937,-32,887658608,478618726,3551.66,117223,67,52,98
Southern Illinois University-Carbondale,0,0,301,1,3,2,6,87,51,2,65,10,17,2,7385,62,21095,49,722329787,212993823,4722.34,76588,91,13,71
Southern Methodist University,0,0,88,2,3,2,5,63,51,4,58,17,5,8,7189,84,194318,80,677179000,2163920000,2762.33,134241,98,18,76
Stanford University,0,0,4,2,4,2,5,4,51,14,21,17,8,24,8075,92,1991167,83,5749821000,37631059000,19552.67,226584,90,45,99
Stony Brook University,0,0,59,1,4,2,6,49,52,8,25,13,5,29,17320,76,30158,31,1327155169,786159357,5220.33,126439,90,17,79
Syracuse University,0,0,75,2,4,2,5,46,57,6,56,13,8,8,15485,84,88676,71,1226239770,2074832074,5396,119045,83,38,93
Temple University,0,0,102,1,4,2,6,80,55,4,45,10,17,15,20762,75,34698,66,1243895000,960929000,6535.66,111913,94,22,74
Texas A & M University-College Station,0,1,51,1,5,1,5,57,47,1,54,26,2,12,54353,84,287891,85,4119057536,19114830674,12097.66,132754,85,31,90
Texas Tech University,0,0,198,1,5,2,5,73,50,2,53,30,6,3,30555,69,54396,83,1053058105,2119922328,5691.99,105555,87,27,99
The Catholic University of America,0,1,169,2,3,2,5,83,56,4,56,20,10,3,2926,79,82914,71,244230524,382564811,1367.99,101264,89,20,88
The University of Alabama,0,0,169,1,5,2,5,77,56,1,71,7,12,1,30838,73,42908,56,1194456940,1565891763,6893.32,103324,75,33,91
The University of Montana,0,0,363,1,3,2,4,96,57,1,71,6,1,1,6481,48,34034,41,372896851,287380104,2214.69,84022,92,16,96
The University of Tennessee-Knoxville,0,0,102,1,4,1,5,42,54,1,79,6,4,4,28719,74,33771,73,1444824686,1187949666,9058.65,117140,73,56,92
The University of Texas at Arlington,0,0,222,1,5,2,6,80,61,3,24,38,16,14,23093,54,5742,85,798104579,223230170,4145.32,103522,97,26,65
The University of Texas at Austin,0,0,30,1,5,2,5,27,58,5,32,28,5,25,41040,89,127377,89,3609116028,6177255191,16929.35,142375,90,27,74
The University of Texas at Dallas,0,0,110,1,4,2,5,65,43,4,23,18,6,41,18970,76,32316,89,1183564160,858859362,3775.34,135767,79,70,88
The University of Texas at El Paso,0,1,257,1,4,2,6,100,55,4,4,87,2,1,15631,50,19438,86,515507920,386783155,2777.34,92152,80,54,86
The University of Texas at San Antonio,0,0,213,1,4,2,6,87,52,1,19,61,8,6,24281,53,10660,85,715942738,315034041,3757.02,95290,95,11,45
Tufts University,0,0,36,2,3,2,5,11,56,12,41,10,6,17,6800,94,181592,74,1115639395,2533755000,5031,128631,93,11,65
Tulane University of Louisiana,0,1,69,2,3,2,3,14,61,7,62,11,8,5,7974,86,169780,66,1374788000,2253994000,5759.68,119371,83,49,98
University at Albany,0,0,127,1,3,2,4,69,55,2,39,17,16,9,12053,61,10867,32,904248397,166836576,2542.34,99114,85,39,86
University at Buffalo,0,1,75,1,4,2,3,74,46,12,45,9,9,17,19755,75,34826,47,1294921163,1059489397,5235.34,111964,80,42,95
University of Alabama at Birmingham,0,1,132,1,4,2,4,88,62,3,48,7,27,8,10456,64,43122,49,1799175467,858989211,10077.32,113387,83,28,96
University of Arizona,0,0,127,1,5,1,3,86,55,4,44,26,5,5,35706,68,28080,26,2429315000,1387344636,12141.65,110926,86,20,77
University of Arkansas,0,0,183,1,4,1,5,74,56,1,74,11,4,3,25484,71,56741,60,921355000,1665643378,5721.67,95881,97,27,63
University of California-Berkeley,0,0,15,1,5,1,5,11,56,12,19,22,2,35,32333,93,68533,5,3957282371,3176106000,12622.67,192150,93,33,65
University of California-Davis,0,0,32,1,5,1,5,42,59,13,20,25,2,31,31712,86,19496,5,3478264305,773217000,14134.34,165182,94,31,61
University of California-Irvine,0,0,32,1,4,1,6,29,56,12,13,26,2,38,29623,87,23695,5,2654420102,899356000,9574,173702,97,27,59
University of California-Los Angeles,0,0,17,1,5,1,5,9,61,8,25,23,3,29,33551,93,72644,5,7579399969,3529545000,28569.32,207437,88,48,80
University of California-Riverside,0,0,75,1,4,1,4,76,52,4,11,40,3,35,22816,76,10476,5,1333819602,277082000,4680.34,153881,94,37,66
University of California-San Diego,0,0,29,1,5,1,5,27,54,12,18,25,2,34,33651,86,35348,5,4705952013,1557815000,18294.65,172028,93,28,61
University of California-Santa Barbara,0,0,40,1,4,1,5,33,57,10,32,26,2,18,23449,83,16654,5,1186246221,444044000,5112.65,186097,88,28,64
University of California-Santa Cruz,0,1,88,1,4,1,3,66,51,3,31,28,2,24,17943,75,7743,5,982531458,164952000,4333.34,161983,92,25,92
University of Central Florida,0,0,117,1,5,2,6,40,55,3,43,31,10,7,44837,78,3330,52,1325621058,201916665,5875,104275,99,16,51
University of Chicago,0,0,6,2,4,2,5,4,47,20,27,15,6,17,7837,96,516375,57,3112408256,9124340657,12563.33,179034,85,22,88
University of Cincinnati-Main Campus,0,1,158,1,5,2,3,85,51,5,69,5,9,6,28241,75,51874,45,1434074747,2010746858,8026.33,104920,90,15,67
University of Connecticut,0,0,69,1,4,1,5,52,56,4,51,19,7,11,19370,83,20637,-27,1768557744,622770599,9595.2,132869,92,25,88
University of Dayton,0,0,143,2,3,2,5,65,48,3,77,7,5,2,8021,80,77416,76,511696000,865508000,2968.67,86795,89,17,97
University of Delaware,0,0,88,1,4,1,5,71,59,6,63,10,7,6,18448,81,80314,68,1169712722,1929793265,4931.67,132218,92,17,94
University of Denver,0,1,117,2,3,2,5,78,55,3,65,15,5,4,5900,76,94324,84,551813591,1088971768,2663.67,118036,89,14,99
University of Florida,0,0,30,1,5,1,5,24,55,3,49,24,5,11,33127,91,47454,64,4900183000,2448293000,16905.66,123629,98,21,94
University of Georgia,0,0,46,1,5,1,5,38,57,1,66,8,6,13,31452,90,47273,31,1807120161,2055796714,11611.68,116485,94,14,89
University of Hawaii at Manoa,0,0,169,1,4,1,4,87,60,4,21,14,2,32,12836,64,3331,61,1068727412,56073331,3956.33,130051,81,27,76
University of Houston,0,0,132,1,5,2,6,74,52,5,18,37,12,23,29413,65,33833,62,1133852494,1313224792,5587.34,120147,87,45,83
University of Idaho,0,0,183,1,3,1,4,76,52,4,73,8,1,2,7122,57,44450,39,472585815,432852924,2459.33,92684,76,30,99
University of Illinois Chicago,0,0,84,1,4,2,6,77,53,8,23,36,8,20,20745,62,20404,57,2077986356,680971470,13667.01,132874,80,56,80
University of Illinois Urbana-Champaign,0,0,37,1,5,1,5,42,47,15,38,13,6,22,35194,85,43820,64,2744285012,2606081833,12644.99,131040,95,24,64
University of Iowa,0,0,102,1,4,2,3,84,56,2,74,9,3,5,21101,75,120638,63,1574692000,3505385000,10786.01,115764,90,17,90
University of Kansas,0,0,143,1,4,2,5,93,53,4,68,10,5,6,19009,69,101163,63,1469795635,2547083957,9650.66,103164,86,22,94
University of Kentucky,0,0,143,1,4,1,5,93,58,2,76,6,7,4,22209,71,67991,72,2166806833,2038771493,11555,108250,87,25,97
University of Louisiana at Lafayette,0,1,373,1,3,2,4,87,58,1,58,5,26,2,11586,53,13626,0,341084534,177999227,2134.66,80199,74,53,96
University of Louisville,0,1,158,1,4,2,6,79,57,1,61,8,16,6,12566,61,55139,45,1142505000,1010310000,6263.67,86684,81,40,98
University of Maine,0,0,257,1,3,1,3,97,51,2,80,5,2,2,7541,55,51356,76,446323000,479309000,2324.99,102600,83,29,99
University of Maryland-Baltimore County,0,1,127,1,3,2,4,72,46,5,31,9,24,23,9475,70,16504,65,521327715,194549728,2313,117560,85,29,93
University of Maryland-College Park,0,0,42,1,5,1,5,45,49,4,39,11,13,23,29995,89,31889,65,2321215378,1171369937,10402.99,153599,96,16,67
University of Massachusetts-Amherst,0,0,64,1,4,1,3,60,52,7,57,9,4,13,23586,83,18158,53,1323828981,579704081,6488,132469,92,18,89
University of Massachusetts-Boston,0,1,213,1,3,2,4,84,56,7,30,19,18,15,10601,49,14236,51,513059000,171325000,1866.66,114487,70,49,92
University of Massachusetts-Lowell,0,0,151,1,4,2,4,83,43,2,51,16,9,14,9948,65,15318,43,533725000,210448000,1825,128503,84,37,92
