institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
William & Mary,0,0,51,1,3,2,5,34,59,4,61,9,6,12,7166,89,154167,65,445233599,1454415648,2756.66,116984,95,11,55
Worcester Polytechnic Institute,0,0,84,2,3,2,5,60,35,7,61,8,3,12,5346,90,95168,63,320793000,682734000,1293,120869,94,14,100
Yale University,0,0,4,2,3,2,5,4,54,15,28,14,8,20,8279,96,2344382,83,5306601905,41441645000,18540.32,204323,99,22,59
Abilene Christian University,1,1,329,2,3,2,3,66,60,4,60,17,7,2,3080,59,156362,76,144461092,821879729,1031,81219,81,24,100
Appalachian State University,1,1,,1,4,2,4,90,56,1,79,9,3,2,18803,75,10510,43,389755722,217201820,3356.99,83449,84,26,69
Arkansas State University,1,0,352,1,3,2,4,82,63,10,64,5,15,1,6164,55,8746,65,216004112,115395232,1688.35,68362,78,44,98
Augusta University,1,0,273,1,3,2,-2,86,64,1,46,10,26,8,4784,49,41777,16,621354834,398304538,4934.34,83947,76,41,93
Azusa Pacific University,1,0,283,2,3,2,6,88,69,4,25,39,7,14,2975,62,15198,53,165485424,96232956,1007.67,93797,84,31,100
Ball State University,1,0,213,1,4,2,6,85,61,1,72,8,10,3,13309,62,14553,65,381156265,260813964,3178.34,75288,78,42,91
Boise State University,1,1,301,1,4,2,3,87,57,1,70,15,2,3,14127,60,8713,58,442541650,165407637,3184.66,88759,79,26,84
Bowling Green State University-Main Campus,1,0,293,1,4,2,3,81,56,3,77,5,6,1,12097,64,15513,43,329286993,236601000,2073.35,94633,82,28,99
California State Polytechnic University-Pomona,1,1,,1,4,2,6,75,45,1,13,54,3,22,21816,68,7983,-30,537872207,187532916,2184.67,116519,87,49,80
California State University-Fresno,1,1,183,1,4,2,6,95,58,3,15,61,3,12,18736,57,11655,-106,517986956,241068519,2053,103909,82,65,88
California State University-Fullerton,1,1,139,1,5,2,4,91,57,1,15,54,2,21,31205,70,4008,-68,772999550,142225508,3160.33,110624,82,54,83
California State University-Long Beach,1,0,127,1,5,2,6,46,58,2,15,51,4,21,30561,69,3874,-111,810557560,132855011,3402.99,110330,87,52,82
California State University-Sacramento,1,1,,1,4,2,6,94,55,2,22,37,6,21,24343,56,3169,-87,680849120,86290912,2620.65,105365,82,57,86
Central Michigan University,1,0,283,1,3,2,6,90,62,3,75,5,9,1,8934,59,20379,76,337133807,265356840,2113.66,96194,75,32,96
Chapman University,1,0,110,2,3,2,5,65,61,3,47,18,2,16,7587,82,81805,76,426840000,804637000,1839.34,123047,92,20,90
Clark Atlanta University,1,1,329,2,3,2,4,64,76,0,0,1,64,0,3559,49,29981,94,121744485,116477562,675.33,76950,71,73,100
Clark University,1,0,132,2,2,2,3,40,57,6,61,12,6,7,2348,77,133786,75,145275000,486846000,775.33,112239,86,27,100
Clarkson University,1,0,143,2,3,2,5,77,33,7,76,7,3,3,2547,75,63925,73,129425425,213957168,632,103472,85,24,100
Cleveland State University,1,0,343,1,3,2,4,91,54,6,57,9,17,4,7858,51,9644,42,320860531,117821388,1773,85327,70,49,90
Creighton University,1,0,117,2,3,2,5,80,57,2,64,10,3,8,4301,83,90682,79,379160000,782588000,2131,97817,94,13,100
CUNY City College,1,1,132,1,3,2,4,60,52,4,14,40,15,23,10651,57,24062,-10,541397718,304811846,1955.66,119075,79,73,90
CUNY Hunter College,1,1,,1,4,2,4,54,64,4,20,31,11,29,14358,57,10056,12,446154336,193943349,2262.67,114536,78,69,89
Delaware State University,1,0,,1,3,1,4,47,65,2,8,9,72,1,4241,39,6918,-6,208346417,37018763,893.32,80493,70,56,92
DePaul University,1,0,169,2,4,2,6,76,55,4,45,24,8,12,13809,68,51936,79,510184000,1025211000,2558.01,114546,86,34,100
