institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
,,,,,,,,,,,,,,,,,,,,,,,91,28,89
,,,,,,,,,,,,,,,,,,,,,,,96,21,73
,,,,,,,,,,,,,,,,,,,,,,,72,52,97
,,,,,,,,,,,,,,,,,,,,,,,77,35,92
,,,,,,,,,,,,,,,,,,,,,,,92,24,100
,,,,,,,,,,,,,,,,,,,,,,,86,18,79
,,,,,,,,,,,,,,,,,,,,,,,89,14,95
,,,,,,,,,,,,,,,,,,,,,,,98,16,57
,,,,,,,,,,,,,,,,,,,,,,,95,18,56
,,,,,,,,,,,,,,,,,,,,,,,89,35,91
,,,,,,,,,,,,,,,,,,,,,,,96,17,60
,,,,,,,,,,,,,,,,,,,,,,,73,40,93
,,,,,,,,,,,,,,,,,,,,,,,80,21,94
,,,,,,,,,,,,,,,,,,,,,,,87,20,100
,,,,,,,,,,,,,,,,,,,,,,,71,23,92
,,,,,,,,,,,,,,,,,,,,,,,96,24,70
,,,,,,,,,,,,,,,,,,,,,,,95,18,72
,,,,,,,,,,,,,,,,,,,,,,,95,12,69
,,,,,,,,,,,,,,,,,,,,,,,85,35,92
,,,,,,,,,,,,,,,,,,,,,,,81,19,96
,,,,,,,,,,,,,,,,,,,,,,,93,15,67
,,,,,,,,,,,,,,,,,,,,,,,69,67,92
,,,,,,,,,,,,,,,,,,,,,,,93,21,100
,,,,,,,,,,,,,,,,,,,,,,,93,12,43
,,,,,,,,,,,,,,,,,,,,,,,76,24,97
,,,,,,,,,,,,,,,,,,,,,,,81,37,100
,,,,,,,,,,,,,,,,,,,,,,,97,12,70
,,,,,,,,,,,,,,,,,,,,,,,84,27,100
,,,,,,,,,,,,,,,,,,,,,,,78,28,89
,,,,,,,,,,,,,,,,,,,,,,,95,21,56
,,,,,,,,,,,,,,,,,,,,,,,83,56,99
,,,,,,,,,,,,,,,,,,,,,,,96,22,63
,,,,,,,,,,,,,,,,,,,,,,,95,14,50
,,,,,,,,,,,,,,,,,,,,,,,83,28,88
,,,,,,,,,,,,,,,,,,,,,,,83,24,97
,,,,,,,,,,,,,,,,,,,,,,,81,30,96
,,,,,,,,,,,,,,,,,,,,,,,71,40,100
,,,,,,,,,,,,,,,,,,,,,,,81,32,100
,,,,,,,,,,,,,,,,,,,,,,,85,28,100
,,,,,,,,,,,,,,,,,,,,,,,93,22,98
,,,,,,,,,,,,,,,,,,,,,,,82,26,100
,,,,,,,,,,,,,,,,,,,,,,,87,23,97
,,,,,,,,,,,,,,,,,,,,,,,66,36,100
,,,,,,,,,,,,,,,,,,,,,,,69,44,92
,,,,,,,,,,,,,,,,,,,,,,,87,23,100
,,,,,,,,,,,,,,,,,,,,,,,95,11,55
,,,,,,,,,,,,,,,,,,,,,,,97,17,64
,,,,,,,,,,,,,,,,,,,,,,,63,43,100
,,,,,,,,,,,,,,,,,,,,,,,91,18,99
,,,,,,,,,,,,,,,,,,,,,,,94,14,100
,,,,,,,,,,,,,,,,,,,,,,,68,43,96
,,,,,,,,,,,,,,,,,,,,,,,99,22,59
,,,,,,,,,,,,,,,,,,,,,,,92,14,94
