institution,type,ds_program,usnews_rank,public_private,size,land_grant,access_earnings,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,endowment_per_fte,equity_ratio,core_expenses,endowment,fte_staff,average_salary,retention,pell,awarded_aid
DePaul University,1,0,169,2,4,2,6,76,55,4,45,24,8,12,13809,68,51936,79,510184000,1025211000,2558.01,114546,78,60,94
Duquesne University,0,0,169,2,3,2,5,84,62,3,75,4,5,3,5248,77,81385,71,272613000,661012000,1727.99,92612,78,22,94
East Tennessee State University,0,1,301,1,3,2,4,86,61,2,72,4,6,2,9047,53,9903,72,452901464,119127440,2540.33,77109,97,17,74
Eastern Michigan University,0,0,373,1,3,2,4,80,59,6,54,10,17,4,8563,46,9936,24,305743007,109425810,1597.33,94431,75,37,99
Embry-Riddle Aeronautical University-Daytona Beach,0,0,,2,3,2,5,65,29,9,42,11,4,4,7392,67,26004,73,282528000,222643000,1834.34,98806,98,21,62
Florida Agricultural and Mechanical University,1,1,169,1,3,1,6,21,66,0,5,5,87,0,7313,53,11290,71,346665996,101700975,1697,83302,70,60,99
Florida Institute of Technology,0,1,232,2,3,2,3,58,33,21,50,15,5,3,3217,64,16405,65,162619731,105961895,1070.67,102007,76,39,100
Fordham University,0,1,97,2,3,2,5,59,60,7,46,19,6,14,10093,82,62713,68,627670000,1024789000,2743.32,146125,94,19,80
Georgia Southern University,1,0,343,1,4,2,4,88,57,1,57,8,25,2,19246,55,5024,23,443531751,119360129,2777.99,84006,78,43,96
Hampton University,2,1,273,2,3,2,6,62,67,1,0,0,97,0,3601,57,62201,79,184799533,241215124,798.34,77381,91,10,99
Hofstra University,2,0,183,2,3,2,5,68,56,4,47,17,9,14,6166,69,91507,76,379694664,925318519,2017.66,134557,90,16,84
Idaho State University,2,1,395,1,3,2,4,,59,2,67,14,1,1,6419,39,10479,68,290756264,100217964,1806.98,80213,73,42,100
Illinois Institute of Technology,0,0,117,2,3,2,6,55,32,20,28,21,6,14,2730,75,34471,59,284941000,263803000,1158.34,114626,84,24,97
Illinois State University,0,0,222,1,4,2,6,88,56,1,66,14,12,3,18375,65,11624,71,486735980,224309967,3368.33,85250,85,30,96
Indiana University of Pennsylvania-Main Campus,2,1,329,1,3,2,6,91,60,4,73,5,10,1,6722,56,12220,-27,183170559,98577436,947.99,106890,85,32,100
