institution,ds_program,barron_rank,public_private,size,land_grant,admitted,women,international,white,hispanic,black,asian,undergrad_enrollment_ft,graduation,equity_ratio,core_expenses,endowment,fte_staff
Hendrix College,1,96,2,2,2,56,50,2,69,9,7,4,1092,72,73,41609822,219105629,335.67
Hillsdale College,1,50,2,2,2,21,50,0,0,0,0,0,1554,90,85,225394140,1133148253,894.68
Hobart William Smith Colleges,1,73,2,2,2,64,51,8,64,10,7,2,1618,77,82,92318093,184210870,573.66
Hollins University,0,135,2,2,2,68,100,6,60,10,15,2,739,65,99,35198336,303839322,283
Hope College,1,84,2,2,2,79,60,2,78,8,4,3,3214,80,91,106073000,309915000,810.34
Houghton University,0,146,2,2,2,89,64,5,70,2,7,3,742,65,77,25551973,80582293,185.66
Illinois College,1,111,2,2,2,78,54,5,70,10,9,1,948,64,80,36491902,139556008,258.33
Juniata College,0,92,2,2,2,79,53,11,67,7,5,2,1240,74,65,52063971,132688469,327.99
Kalamazoo College,1,67,2,2,2,75,58,5,62,16,5,5,1373,76,87,62489424,304294691,358.99
Kenyon College,1,45,2,2,2,31,59,9,57,6,4,4,1864,82,76,118451476,626603453,658.32
Knox College,0,76,2,2,2,71,52,20,48,13,6,4,1026,68,80,49500216,174514569,410.99
Lafayette College,1,30,2,2,2,31,49,7,68,9,6,4,2753,88,79,170365000,1140250000,899.67
Lake Forest College,0,75,2,2,2,57,57,17,46,18,3,6,1884,78,79,60327627,123504020,348.66
Lawrence University,1,65,2,2,2,64,53,11,61,11,4,5,1457,77,84,77529590,461234427,498.33
Lewis & Clark College,0,96,2,2,2,78,63,5,64,12,3,5,2187,75,71,122153319,326109583,719.33
Linfield University,0,111,2,2,2,85,65,1,60,21,1,6,1629,70,80,61549452,117769708,431.34
Luther College,0,111,2,2,2,72,54,13,73,7,4,2,1455,71,89,55059701,204542420,366.34
Lycoming College,0,96,2,2,2,74,53,3,65,12,11,2,1074,60,83,42841170,191145000,299
Lyon College,0,167,2,2,2,63,41,6,46,8,8,1,587,47,20,33551900,97328611,216.33
Macalester College,0,28,2,2,2,29,58,14,51,11,6,8,2126,87,92,127659000,881667000,652.67
Marymount Manhattan College,1,178,2,2,2,83,83,2,50,20,12,3,1517,49,56,50029584,30340471,410
Maryville College,1,170,2,2,2,61,53,7,71,6,9,1,1061,50,83,28744298,111238733,329.33
Massachusetts College of Liberal Arts,1,115,1,2,2,90,57,1,62,8,6,1,683,56,68,46249872,22979412,293.99
Meredith College,0,115,2,2,2,74,100,2,62,17,9,5,1271,70,74,47911002,138962671,437.67
Middlebury College,1,13,2,3,2,11,53,12,51,10,5,7,4054,91,77,294329919,1597984000,1200.99
Millsaps College,0,146,2,2,2,43,47,4,55,5,27,3,576,57,86,30657017,110471025,228.34
Monmouth College,1,154,2,2,2,91,47,1,69,12,10,2,738,65,87,31497429,141991869,206
Morehouse College,1,96,2,2,2,44,0,0,0,0,98,0,2416,59,95,112356290,263393368,601.34
Mount Holyoke College,0,29,2,2,2,36,100,22,51,9,5,7,2327,84,81,147963371,1101548227,908.33
Muhlenberg College,0,70,2,2,2,72,59,1,71,11,5,4,1776,82,81,79347791,337125542,581.66
New College of Florida,0,135,1,2,2,73,56,6,56,23,6,4,763,67,41,80313090,48987288,351.66
Oberlin College,0,58,2,2,2,34,58,24,46,6,3,4,3077,81,77,170844911,1270465000,898.66
Occidental College,1,35,2,2,2,44,59,4,48,17,4,13,1932,81,87,117534309,654297483,734.99
Oglethorpe University,1,156,2,2,2,88,74,2,27,17,12,2,1433,54,93,35869273,51089713,260.67
Ohio Wesleyan University,0,121,2,2,2,56,57,6,73,5,7,3,1471,59,84,60841078,306030062,379
Ouachita Baptist University,1,151,2,2,2,68,56,2,81,6,6,1,1618,61,77,43295644,140325456,319.33
Pitzer College,1,37,2,2,2,25,59,9,47,12,5,12,1195,83,73,83897948,191881805,375
Pomona College,1,7,2,2,2,7,55,13,30,16,10,18,1743,93,89,191094000,3008965000,875.33
Presbyterian College,0,163,2,2,2,68,49,6,59,8,17,2,904,51,68,40646995,107646357,266.67
Principia College,1,63,2,1,2,44,42,39,40,5,8,1,337,74,94,37086657,592903744,294
Randolph College,1,156,2,2,2,94,59,4,54,9,18,7,538,46,92,29536456,187140000,284.33
Randolph-Macon College,0,96,2,2,2,87,54,1,74,5,9,3,1483,70,83,54216442,217085858,443.67
Reed College,1,63,2,2,2,25,59,8,59,11,1,8,1504,71,84,96641127,790961122,533.34
Rhodes College,0,55,2,2,2,50,59,4,62,7,10,9,1902,85,83,82065992,431583452,510.65
Ripon College,1,143,2,2,2,80,45,1,77,11,5,1,727,63,78,27086127,114037583,180.99
Roanoke College,0,126,2,2,2,83,53,7,75,6,6,2,1883,67,85,59896016,185244775,433.68
Saint Anselm College,0,96,2,2,2,78,58,1,87,5,1,1,2049,80,75,74366784,213587856,512.01
Saint Johns University,0,82,2,2,2,91,0,4,79,8,5,4,1453,75,88,66239903,300875481,414
Saint Mary's College,1,84,2,2,2,76,99,1,74,13,2,1,1430,69,84,60235191,321859342,457.33
Saint Michael's College,0,115,2,2,2,85,55,5,78,6,4,2,1171,73,66,53760282,95450950,328.32
Saint Norbert College,0,111,2,2,2,86,56,2,80,5,1,2,1777,71,92,61658776,188795538,443.66
Saint Vincent College,0,121,2,2,2,62,40,2,79,5,6,1,1269,69,92,50929653,146740767,396.33
Salem College,1,143,2,2,2,77,99,2,40,17,17,2,361,57,81,21202378,60510012,142.99
Sarah Lawrence College,1,109,2,2,2,62,79,7,56,10,4,5,1566,71,63,78357677,148109145,403.33
Scripps College,1,37,2,2,2,38,100,5,54,12,4,13,1076,83,83,87854263,503038388,395.67
Simpson University,0,173,2,2,2,86,56,4,41,23,3,4,728,49,39,25212652,7374442,173.66
Skidmore College,1,37,2,2,2,21,59,9,63,10,4,6,2761,83,84,161253000,488201000,948.32
Smith College,0,13,2,2,2,21,100,13,51,12,5,10,2611,89,83,253895751,2564122544,1310
Southwestern University,1,84,2,2,2,43,55,2,54,28,6,4,1477,73,81,61767033,403727514,418.33
Spelman College,1,37,2,2,2,25,92,1,8,2,74,1,2558,78,93,118636631,549276684,678.33
St Lawrence University,0,58,2,2,2,54,54,10,76,5,2,2,2071,79,75,111898372,416833841,662.66
St Olaf College,0,50,2,2,2,48,58,10,67,9,3,6,3068,84,84,125156224,803770786,731.02
St. John's College,1,84,2,2,2,55,49,15,63,7,2,4,496,71,90,25760121,210047576,166
St. John's College,1,96,2,2,2,53,48,12,63,13,2,2,386,55,82,23364548,112735358,148.66
St. Mary's College of Maryland,1,96,1,2,2,69,60,0,70,8,11,3,1612,70,81,80664083,45029041,448.01
Stonehill College,0,82,2,2,2,66,52,2,75,8,5,2,2505,76,80,84873726,306928702,591
SUNY at Purchase College,1,131,1,2,2,74,58,1,50,24,12,4,3058,63,15,133864382,82417368,753.32
Susquehanna University,0,96,2,2,2,81,57,2,72,7,6,2,2143,82,86,71225778,225341330,448.66
Swarthmore College,1,4,2,2,2,7,52,14,30,15,9,17,1736,92,85,193656000,2728473000,1036
